trade_id,strategy_id,factor_id,product_id,contract,side,quantity,entry_signal_time,entry_time,entry_price,exit_signal_time,exit_time,exit_price,bars_held,gross_pnl,total_fee,net_pnl,trading_date
FID004_day_v3:DCE.P:000008,FID004_day_v3,FID004,DCE.P,P1701,long,1,2016-09-20 09:30:00,2016-09-20 09:31:00,5676.0,2016-09-20 14:55:00,2016-09-20 21:00:00,5686.0,194,100.0,3.86308,96.13692,2016-09-21
FTR001_trading_day_v3:DCE.P:000004,FTR001_trading_day_v3,FTR001,DCE.P,P1701,long,1,2016-09-19 21:59:00,2016-09-19 22:00:00,5586.0,2016-09-20 14:55:00,2016-09-20 21:00:00,5686.0,285,1000.0,3.83248,996.16752,2016-09-21
FTR001_trading_day_v3:DCE.P:000013,FTR001_trading_day_v3,FTR001,DCE.P,P1701,long,1,2016-10-14 21:59:00,2016-10-14 22:00:00,5696.0,2016-10-17 14:55:00,2016-10-17 21:00:00,5800.0,285,1040.0,3.90864,1036.09136,2016-10-18
FTR001_trading_day_v3:DCE.JM:000013,FTR001_trading_day_v3,FTR001,DCE.JM,JM1701,long,1,2016-11-04 09:00:00,2016-11-04 09:01:00,1389.0,2016-11-04 14:55:00,2016-11-04 21:00:00,1407.5,224,1110.0,16.94679,1093.05321,2016-11-07
FID004_day_v3:DCE.JM:000050,FID004_day_v3,FID004,DCE.JM,JM1701,long,1,2016-11-07 09:56:00,2016-11-07 09:57:00,1485.0,2016-11-07 14:55:00,2016-11-07 21:00:00,1525.0,168,2400.0,18.2406,2381.7594,2016-11-08
FTR001_trading_day_v3:DCE.JM:000014,FTR001_trading_day_v3,FTR001,DCE.JM,JM1701,long,1,2016-11-04 21:59:00,2016-11-04 22:00:00,1438.0,2016-11-07 14:55:00,2016-11-07 21:00:00,1525.0,285,5220.0,17.95578,5202.04422,2016-11-08
FID004_day_v3:SHFE.RU:000042,FID004_day_v3,FID004,SHFE.RU,RU1701,long,1,2016-11-08 09:34:00,2016-11-08 09:35:00,14965.0,2016-11-08 14:55:00,2016-11-08 21:00:00,15135.0,190,1700.0,6.622000000000001,1693.378,2016-11-09
FTR001_trading_day_v3:SHFE.RU:000019,FTR001_trading_day_v3,FTR001,SHFE.RU,RU1701,long,1,2016-11-08 09:26:00,2016-11-08 09:27:00,14915.0,2016-11-08 14:55:00,2016-11-08 21:00:00,15135.0,198,2200.0,6.611000000000001,2193.389,2016-11-09
FTR001_trading_day_v3:SHFE.CU:000017,FTR001_trading_day_v3,FTR001,SHFE.CU,CU1701,long,1,2016-11-09 21:59:00,2016-11-09 22:00:00,42990.0,2016-11-10 14:55:00,2016-11-10 21:00:00,45000.0,405,10050.0,21.9975,10028.0025,2016-11-11
FID004_day_v3:DCE.P:000052,FID004_day_v3,FID004,DCE.P,P1701,short,1,2016-11-14 13:30:00,2016-11-14 13:31:00,5994.0,2016-11-14 14:55:00,2016-11-14 21:00:00,5976.0,89,180.0,4.0698,175.9302,2016-11-15
FTR001_trading_day_v3:DCE.P:000022,FTR001_trading_day_v3,FTR001,DCE.P,P1701,short,1,2016-11-11 21:59:00,2016-11-11 22:00:00,6044.0,2016-11-14 14:55:00,2016-11-14 21:00:00,5976.0,285,680.0,4.0868,675.9132,2016-11-15
FTR001_trading_day_v3:SHFE.AG:000018,FTR001_trading_day_v3,FTR001,SHFE.AG,AG1706,short,1,2016-11-11 22:27:00,2016-11-11 22:28:00,4364.0,2016-11-14 14:55:00,2016-11-14 21:00:00,4141.0,467,3345.0,6.506325,3338.493675,2016-11-15
FID004_day_v3:SHFE.RB:000053,FID004_day_v3,FID004,SHFE.RB,RB1701,short,1,2016-11-15 10:53:00,2016-11-15 10:54:00,2920.0,2016-11-15 14:55:00,2016-11-15 21:00:00,2801.0,126,1190.0,5.7782100000000005,1184.22179,2016-11-16
FTR001_trading_day_v3:SHFE.RU:000024,FTR001_trading_day_v3,FTR001,SHFE.RU,RU1701,long,1,2016-11-16 09:58:00,2016-11-16 09:59:00,16350.0,2016-11-16 14:55:00,2016-11-16 21:00:00,16540.0,166,1900.0,7.235800000000001,1892.7642,2016-11-17
FTR001_trading_day_v3:SHFE.RU:000026,FTR001_trading_day_v3,FTR001,SHFE.RU,RU1705,long,1,2016-11-21 09:20:00,2016-11-21 09:21:00,17195.0,2016-11-21 14:55:00,2016-11-21 21:00:00,17855.0,204,6600.0,7.711000000000001,6592.289,2016-11-22
FID004_day_v3:CZCE.SR:000059,FID004_day_v3,FID004,CZCE.SR,SR1701,long,1,2016-11-28 10:35:00,2016-11-28 10:36:00,7182.0,2016-11-28 14:55:00,2016-11-28 21:00:00,7268.0,144,860.0,7.9475,852.0525,2016-11-29
FTR001_trading_day_v3:CZCE.SR:000024,FTR001_trading_day_v3,FTR001,CZCE.SR,SR1701,long,1,2016-11-25 21:59:00,2016-11-25 22:00:00,7022.0,2016-11-28 14:55:00,2016-11-28 21:00:00,7268.0,285,2460.0,7.8595,2452.1405,2016-11-29
FTR001_trading_day_v3:SHFE.RU:000031,FTR001_trading_day_v3,FTR001,SHFE.RU,RU1705,short,1,2016-11-29 22:21:00,2016-11-29 22:22:00,18290.0,2016-11-30 14:55:00,2016-11-30 14:56:00,17775.0,259,5150.0,7.9343,5142.0657,2016-11-30
FID004_day_v3:SHFE.RB:000067,FID004_day_v3,FID004,SHFE.RB,RB1705,short,1,2016-11-30 10:56:00,2016-11-30 10:57:00,3005.0,2016-11-30 14:55:00,2016-11-30 21:00:00,3000.0,123,50.0,6.06505,43.93495,2016-12-01
FID004_day_v3:SHFE.RB:000106,FID004_day_v3,FID004,SHFE.RB,RB1705,long,1,2017-01-10 10:30:00,2017-01-10 10:31:00,3088.0,2017-01-10 14:55:00,2017-01-10 21:00:00,3177.0,149,890.0,6.32765,883.67235,2017-01-11
FTR001_trading_day_v3:SHFE.RB:000035,FTR001_trading_day_v3,FTR001,SHFE.RB,RB1705,long,1,2017-01-10 13:43:00,2017-01-10 13:44:00,3153.0,2017-01-10 14:55:00,2017-01-10 21:00:00,3177.0,76,240.0,6.3933,233.6067,2017-01-11
FTR001_trading_day_v3:DCE.JM:000055,FTR001_trading_day_v3,FTR001,DCE.JM,JM1709,long,1,2017-04-05 09:40:00,2017-04-05 09:41:00,1313.0,2017-04-05 14:55:00,2017-04-05 21:00:00,1331.0,184,1080.0,16.022640000000003,1063.97736,2017-04-06
FID004_day_v3:SHFE.RU:000168,FID004_day_v3,FID004,SHFE.RU,RU1709,short,1,2017-04-07 13:50:00,2017-04-07 13:51:00,15810.0,2017-04-07 14:55:00,2017-04-07 21:00:00,15645.0,69,1650.0,6.9201000000000015,1643.0799,2017-04-10
FTR001_trading_day_v3:SHFE.RU:000064,FTR001_trading_day_v3,FTR001,SHFE.RU,RU1709,short,1,2017-04-06 21:59:00,2017-04-06 22:00:00,16115.0,2017-04-07 14:55:00,2017-04-07 21:00:00,15645.0,285,4700.0,6.987200000000001,4693.0128,2017-04-10
FID004_night_v3:SHFE.AU:000196,FID004_night_v3,FID004,SHFE.AU,AU1712,long,1,2017-05-02 21:46:00,2017-05-02 21:47:00,283.35,2017-05-03 02:25:00,2017-05-03 02:28:00,283.45,281,99.9999999999659,40.0,59.999999999965894,2017-05-03
FID004_night_v3:SHFE.AU:000202,FID004_night_v3,FID004,SHFE.AU,AU1712,short,1,2017-05-09 00:05:00,2017-05-09 00:06:00,278.55,2017-05-09 02:25:00,2017-05-09 02:26:00,278.55,140,-0.0,40.0,-40.0,2017-05-09
FID004_night_v3:SHFE.AU:000206,FID004_night_v3,FID004,SHFE.AU,AU1712,short,1,2017-05-12 21:48:00,2017-05-12 21:49:00,278.4,2017-05-13 02:25:00,2017-05-13 02:26:00,278.1,277,299.9999999999545,40.0,259.9999999999545,2017-05-15
FID004_night_v3:SHFE.AU:000217,FID004_night_v3,FID004,SHFE.AU,AU1712,long,1,2017-05-31 22:05:00,2017-05-31 22:06:00,282.5,2017-06-01 02:25:00,2017-06-01 02:26:00,282.55,260,50.00000000001137,40.0,10.000000000011369,2017-06-01
FID004_night_v3:DCE.P:000156,FID004_night_v3,FID004,DCE.P,P1801,long,1,2017-07-11 21:30:00,2017-07-11 21:31:00,5304.0,2017-07-11 22:55:00,2017-07-11 22:56:00,5314.0,85,100.0,3.61012,96.38988,2017-07-12
FID004_night_v3:DCE.P:000158,FID004_night_v3,FID004,DCE.P,P1801,long,1,2017-07-12 22:19:00,2017-07-12 22:20:00,5308.0,2017-07-12 22:55:00,2017-07-12 22:56:00,5306.0,36,-20.0,3.60876,-23.60876,2017-07-13
FTR001_trading_day_v3:SHFE.RU:000092,FTR001_trading_day_v3,FTR001,SHFE.RU,RU1709,short,1,2017-07-28 10:14:00,2017-07-28 10:30:00,13235.0,2017-07-28 14:55:00,2017-07-28 21:00:00,12500.0,150,7350.0,5.661700000000001,7344.3383,2017-07-31
FTR001_trading_day_v3:SHFE.RU:000112,FTR001_trading_day_v3,FTR001,SHFE.RU,RU1801,short,1,2017-09-27 21:59:00,2017-09-27 22:00:00,14155.0,2017-09-28 14:55:00,2017-09-28 21:00:00,13500.0,285,6550.0,6.084100000000001,6543.9159,2017-09-29
FID004_night_v3:CZCE.CF:000198,FID004_night_v3,FID004,CZCE.CF,CF1801,short,1,2017-10-25 21:59:00,2017-10-25 22:00:00,15030.0,2017-10-25 22:55:00,2017-10-25 22:56:00,15050.0,56,-100.0,9.776,-109.776,2017-10-26
FID004_night_v3:SHFE.AU:000358,FID004_night_v3,FID004,SHFE.AU,AU1806,long,1,2017-11-13 22:09:00,2017-11-13 22:10:00,279.9,2017-11-14 02:25:00,2017-11-14 02:27:00,279.95,257,50.00000000001137,40.0,10.000000000011369,2017-11-14
FID004_night_v3:CZCE.CF:000206,FID004_night_v3,FID004,CZCE.CF,CF1801,short,1,2017-11-16 22:42:00,2017-11-16 22:43:00,15030.0,2017-11-16 22:55:00,2017-11-16 22:57:00,15035.0,14,-25.0,9.771124999999998,-34.771125,2017-11-17
FID004_night_v3:CZCE.CF:000207,FID004_night_v3,FID004,CZCE.CF,CF1801,short,1,2017-11-17 21:44:00,2017-11-17 21:45:00,14925.0,2017-11-17 22:55:00,2017-11-17 22:56:00,14975.0,71,-250.0,9.7175,-259.71750000000003,2017-11-20
FID004_night_v3:CZCE.CF:000214,FID004_night_v3,FID004,CZCE.CF,CF1805,short,1,2017-12-08 22:18:00,2017-12-08 22:19:00,15425.0,2017-12-08 22:55:00,2017-12-08 22:56:00,15425.0,37,-0.0,10.02625,-10.02625,2017-12-11
FID004_night_v3:CZCE.SR:000231,FID004_night_v3,FID004,CZCE.SR,SR1801,short,1,2017-12-08 21:44:00,2017-12-08 21:45:00,6537.0,2017-12-08 22:55:00,2017-12-08 22:56:00,6524.0,71,130.0,7.183549999999999,122.81645,2017-12-11
FID004_day_v3:DCE.JM:000396,FID004_day_v3,FID004,DCE.JM,JM1805,long,1,2017-12-18 13:59:00,2017-12-18 14:00:00,1337.5,2017-12-18 14:55:00,2017-12-18 21:00:00,1368.0,60,1830.0,16.39533,1813.60467,2017-12-19
FTR001_rolling_30m_v3:DCE.JM:000300,FTR001_rolling_30m_v3,FTR001,DCE.JM,JM1805,long,1,2017-12-18 14:08:00,2017-12-18 14:09:00,1340.5,2017-12-18 14:55:00,2017-12-18 21:00:00,1368.0,51,1650.0,16.413510000000002,1633.58649,2017-12-19
FTR001_trading_day_v3:DCE.JM:000123,FTR001_trading_day_v3,FTR001,DCE.JM,JM1805,long,1,2017-12-15 22:59:00,2017-12-18 09:00:00,1316.5,2017-12-18 14:55:00,2017-12-18 21:00:00,1368.0,225,3090.0,16.26807,3073.73193,2017-12-19
FID004_night_v3:CZCE.CF:000220,FID004_night_v3,FID004,CZCE.CF,CF1805,short,1,2017-12-26 22:37:00,2017-12-26 22:38:00,14970.0,2017-12-26 22:55:00,2017-12-26 22:56:00,14970.0,18,-0.0,9.7305,-9.7305,2017-12-27
FID004_night_v3:CZCE.CF:000225,FID004_night_v3,FID004,CZCE.CF,CF1805,short,1,2018-01-09 21:39:00,2018-01-09 21:40:00,15220.0,2018-01-09 22:55:00,2018-01-09 22:56:00,15195.0,76,125.0,9.884875,115.115125,2018-01-10
FID004_night_v3:CZCE.CF:000226,FID004_night_v3,FID004,CZCE.CF,CF1805,short,1,2018-01-10 22:34:00,2018-01-10 22:35:00,15205.0,2018-01-10 22:55:00,2018-01-10 22:56:00,15215.0,21,-50.0,9.886499999999998,-59.8865,2018-01-11
FID004_night_v3:CZCE.CF:000230,FID004_night_v3,FID004,CZCE.CF,CF1805,long,1,2018-01-15 21:59:00,2018-01-15 22:00:00,15295.0,2018-01-15 22:55:00,2018-01-15 22:58:00,15290.0,58,-25.0,9.940124999999998,-34.940125,2018-01-16
FID004_night_v3:CZCE.CF:000240,FID004_night_v3,FID004,CZCE.CF,CF1805,short,1,2018-02-07 21:54:00,2018-02-07 21:55:00,15050.0,2018-02-07 22:55:00,2018-02-07 22:56:00,15050.0,61,-0.0,9.7825,-9.7825,2018-02-08
FID004_night_v3:CZCE.CF:000257,FID004_night_v3,FID004,CZCE.CF,CF1805,long,1,2018-03-21 21:30:00,2018-03-21 21:31:00,15035.0,2018-03-21 22:55:00,2018-03-21 22:56:00,15030.0,85,-25.0,9.771124999999998,-34.771125,2018-03-22
FTR001_trading_day_v3:SHFE.RU:000165,FTR001_trading_day_v3,FTR001,SHFE.RU,RU1805,short,1,2018-03-22 22:02:00,2018-03-22 22:03:00,12005.0,2018-03-23 14:55:00,2018-03-23 21:00:00,11205.0,282,8000.0,5.106200000000001,7994.8938,2018-03-26
FID004_night_v3:DCE.P:000282,FID004_night_v3,FID004,DCE.P,P1809,short,1,2018-03-27 22:19:00,2018-03-27 22:20:00,5076.0,2018-03-27 22:55:00,2018-03-27 22:56:00,5080.0,36,-40.0,3.45304,-43.45304,2018-03-28
FID004_night_v3:CZCE.CF:000263,FID004_night_v3,FID004,CZCE.CF,CF1809,short,1,2018-04-09 22:03:00,2018-04-09 22:04:00,15265.0,2018-04-09 22:55:00,2018-04-09 22:56:00,15275.0,52,-50.0,9.9255,-59.9255,2018-04-10
FID004_night_v3:CZCE.CF:000268,FID004_night_v3,FID004,CZCE.CF,CF1809,long,1,2018-04-23 21:39:00,2018-04-23 21:40:00,15490.0,2018-04-23 22:55:00,2018-04-23 22:57:00,15475.0,77,-75.0,10.063624999999998,-85.063625,2018-04-24
FID004_night_v3:CZCE.CF:000270,FID004_night_v3,FID004,CZCE.CF,CF1809,short,1,2018-04-26 21:34:00,2018-04-26 21:35:00,15400.0,2018-04-26 22:55:00,2018-04-26 22:57:00,15390.0,82,50.0,10.00675,39.99325,2018-04-27
FID004_night_v3:CZCE.CF:000274,FID004_night_v3,FID004,CZCE.CF,CF1809,long,1,2018-05-04 22:40:00,2018-05-04 22:41:00,15565.0,2018-05-04 22:55:00,2018-05-04 22:56:00,15560.0,15,-25.0,10.115624999999998,-35.115625,2018-05-07
FID004_night_v3:SHFE.AG:000467,FID004_night_v3,FID004,SHFE.AG,AG1812,long,1,2018-05-07 23:11:00,2018-05-07 23:12:00,3760.0,2018-05-08 02:25:00,2018-05-08 02:26:00,3758.0,194,-30.0,5.751270000000001,-35.751270000000005,2018-05-08
FID004_night_v3:DCE.P:000299,FID004_night_v3,FID004,DCE.P,P1809,short,1,2018-05-10 21:31:00,2018-05-10 21:32:00,5078.0,2018-05-10 22:55:00,2018-05-10 22:56:00,5086.0,84,-80.0,3.4557599999999997,-83.45576,2018-05-11
FTR001_trading_day_v3:CZCE.CF:000156,FTR001_trading_day_v3,FTR001,CZCE.CF,CF1901,long,1,2018-05-16 09:37:00,2018-05-16 09:38:00,16480.0,2018-05-16 14:55:00,2018-05-16 21:00:00,17085.0,187,3025.0,10.908625,3014.091375,2018-05-17
FID004_day_v3:CZCE.CF:000451,FID004_day_v3,FID004,CZCE.CF,CF1901,long,1,2018-05-29 09:43:00,2018-05-29 09:44:00,18480.0,2018-05-29 14:55:00,2018-05-29 21:00:00,18850.0,181,1850.0,12.13225,1837.86775,2018-05-30
FTR001_trading_day_v3:CZCE.CF:000161,FTR001_trading_day_v3,FTR001,CZCE.CF,CF1901,long,1,2018-05-29 09:14:00,2018-05-29 09:15:00,18140.0,2018-05-29 14:55:00,2018-05-29 21:00:00,18850.0,210,3550.0,12.02175,3537.97825,2018-05-30
FID004_day_v3:CZCE.CF:000459,FID004_day_v3,FID004,CZCE.CF,CF1901,short,1,2018-06-05 10:13:00,2018-06-05 10:14:00,18155.0,2018-06-05 14:55:00,2018-06-05 21:00:00,17680.0,151,2375.0,11.646375,2363.3536249999997,2018-06-06
FID004_day_v3:DCE.P:000507,FID004_day_v3,FID004,DCE.P,P1809,short,1,2018-06-19 10:00:00,2018-06-19 10:01:00,4852.0,2018-06-19 14:55:00,2018-06-19 21:00:00,4630.0,164,2220.0,3.2238800000000003,2216.77612,2018-06-20
FTR001_trading_day_v3:DCE.P:000154,FTR001_trading_day_v3,FTR001,DCE.P,P1809,short,1,2018-06-19 10:41:00,2018-06-19 10:42:00,4800.0,2018-06-19 14:55:00,2018-06-19 21:00:00,4630.0,138,1700.0,3.2062,1696.7938,2018-06-20
